format, token_name, token_symbol, count, token_created, token_contract, artbase_slug, opensea_slug
28x28, Galactic Alien Social Club, GASC, 10000, Dec-16-2021 05:31:17 AM, 0x33fd4167e51a10d19c89c3a606389d0fddc3e676, galacticaliensocialclub, galacticaliensocialclub
24x24, Crypto BAYC, CBAYC, 10000, Feb-21-2022 10:30:48 AM, 0xdcd552496f0240374e365b7776239672bfd891a8, binaryapes, binaryapes
24x24, EightBit, BIT, 8888, Mar-30-2022 08:43:49 AM, 0x6080b6d2c02e9a0853495b87ce6a65e353b74744, eightbitme, eightbitme
48x48, Pixel goblintown, GOBLIN, 4444, May-21-2022 10:45:51 PM, 0x255503fe2a00f6b1e3b8a893e2a4c2363be38225, goblintown, pixel-goblintown
